Site ID,Start date,End date
E11,2012-05-21,2012-06-19
E11,2012-10-06,2012-10-24
E11,2012-12-08,2013-01-17
E11,2013-02-10,2013-02-25
E12,2010-09-09,2010-11-03
E12,2011-03-04,2011-07-27
E12,2011-10-24,2011-12-29
E12,2012-05-21,2012-07-21
E12,2012-08-02,2012-09-04
E12,2012-10-06,2012-12-11
E12,2013-02-10,2013-03-01
E13,2010-09-09,2010-11-03
E13,2011-03-03,2011-05-18
E13,2011-10-24,2011-12-16
E13,2011-12-29,2012-12-04
E13,2012-12-11,2013-04-13
F01,2011-02-27,2011-08-02
F01,2011-10-29,2012-06-02
F01,2012-07-26,2012-08-27
F01,2012-09-27,2013-01-30
F01,2013-02-02,2013-04-06
F02,2010-07-18,2010-09-25
F02,2010-10-17,2010-11-06
F02,2011-02-27,2011-06-25
F02,2011-10-29,2012-02-17
F02,2012-03-08,2012-05-10
F02,2012-05-11,2013-04-06
F03,2010-07-18,2010-08-09
F03,2010-10-17,2010-11-02
F03,2011-02-11,2011-04-25
F03,2011-06-18,2011-06-20
F03,2011-10-29,2012-12-29
F03,2013-02-02,2013-03-07
F04,2010-07-21,2010-09-10
F04,2011-02-10,2011-03-29
F04,2011-09-15,2011-11-11
F04,2012-01-06,2012-01-28
F04,2012-03-09,2012-04-26
F04,2012-06-03,2013-01-18
F05,2010-07-16,2010-08-06
F05,2010-09-04,2010-10-26
F05,2011-03-29,2011-08-05
F05,2011-09-15,2012-07-20
F05,2012-07-21,2012-08-23
F05,2012-09-12,2013-01-21
F05,2013-01-22,2013-02-08
F05,2013-03-01,2013-03-03
F06,2010-07-20,2010-08-26
F06,2011-02-11,2011-03-09
F06,2011-04-25,2011-07-15
F06,2011-09-15,2012-01-06
F06,2012-03-13,2012-04-27
F06,2013-01-22,2013-04-23
F07,2011-03-04,2011-06-14
F07,2011-09-09,2012-04-27
F07,2013-01-22,2013-04-19
F08,2010-07-23,2010-08-16
F08,2010-08-30,2010-09-28
F08,2011-02-12,2011-04-25
F08,2011-05-17,2011-08-01
F08,2011-09-09,2012-01-10
F08,2012-02-14,2013-01-28
F09,2010-07-23,2010-08-17
F09,2010-08-30,2010-11-05
F09,2011-03-04,2011-04-17
F09,2011-05-17,2011-07-08
F09,2011-09-09,2011-11-03
F09,2012-01-11,2012-03-11
F09,2012-12-15,2013-04-14
F10,2010-09-18,2010-11-05
F10,2011-02-14,2011-03-19
F10,2011-09-09,2012-01-06
F10,2012-01-16,2012-03-09
F10,2013-01-30,2013-03-23
F11,2010-09-08,2010-11-05
F11,2011-02-14,2011-02-19
F11,2011-03-04,2011-07-03
F11,2011-09-09,2011-11-05
F12,2010-09-08,2010-11-03
F12,2011-03-04,2011-04-20
F12,2011-09-09,2012-01-09
F12,2012-01-16,2012-05-08
F12,2012-12-11,2013-01-03
F13,2011-06-15,2011-08-01
F13,2011-09-09,2011-12-22
F13,2012-01-16,2012-05-21
G01,2010-08-31,2010-11-06
G01,2011-02-09,2011-08-02
G01,2011-10-29,2012-03-09
G01,2012-05-11,2012-11-03
G01,2012-11-22,2013-04-06
G02,2010-07-18,2010-11-06
G02,2011-02-09,2011-08-02
G02,2011-10-29,2011-12-05
G02,2011-12-31,2012-05-04
G02,2012-05-11,2012-07-26
G02,2012-07-30,2012-11-21
G02,2012-11-22,2013-02-22
G03,2010-07-18,2010-08-05
G03,2010-08-21,2010-08-31
G03,2010-10-16,2010-10-28
G03,2011-02-27,2011-08-02
G03,2012-03-09,2012-08-30
